YEAR,category,aktor,film,type
2023,ACTOR IN A LEADING ROLE,Paul Mescal,"""Aftersun""",nominees
2023,ACTOR IN A LEADING ROLE,Bill Nighy,"""Living""",nominees
2023,ACTOR IN A SUPPORTING ROLE,Ke Huy Quan,"""Everything Everywhere All at Once""",Winner
2023,ACTOR IN A SUPPORTING ROLE,Brendan Gleeson,"""The Banshees of Inisherin""",nominees
2023,ACTOR IN A SUPPORTING ROLE,Brian Tyree Henry,"""Causeway""",nominees
2023,ACTOR IN A SUPPORTING ROLE,Judd Hirsch,"""The Fabelmans""",nominees
2023,ACTOR IN A SUPPORTING ROLE,Barry Keoghan,"""The Banshees of Inisherin""",nominees
2023,ACTRESS IN A LEADING ROLE,Michelle Yeoh,"""Everything Everywhere All at Once""",Winner
2023,ACTRESS IN A LEADING ROLE,Cate Blanchett,"""Tár""",nominees
2023,ACTRESS IN A LEADING ROLE,Ana de Armas,"""Blonde""",nominees
2023,ACTRESS IN A LEADING ROLE,Andrea Riseborough,"""To Leslie""",nominees
2023,ACTRESS IN A LEADING ROLE,Michelle Williams,"""The Fabelmans""",nominees
2023,ACTRESS IN A SUPPORTING ROLE,Jamie Lee Curtis,"""Everything Everywhere All at Once""",Winner
2023,ACTRESS IN A SUPPORTING ROLE,Angela Bassett,"""Black Panther: Wakanda Forever""",nominees
2023,ACTRESS IN A SUPPORTING ROLE,Hong Chau,"""The Whale""",nominees
2023,ACTRESS IN A SUPPORTING ROLE,Kerry Condon,"""The Banshees of Inisherin""",nominees
2023,ACTRESS IN A SUPPORTING ROLE,Stephanie Hsu,"""Everything Everywhere All at Once""",nominees
2023,ANIMATED FEATURE FILM,"Guillermo del Toro, Mark Gustafson, Gary Ungar and Alex Bulkley","""Guillermo del Toro's Pinocchio""",Winner
2023,ANIMATED FEATURE FILM,"Dean Fleischer Camp, Elisabeth Holm, Andrew Goldman, Caroline Kaplan and Paul Mezey","""Marcel the Shell with Shoes On""",nominees
2023,ANIMATED FEATURE FILM,Joel Crawford and Mark Swift,"""Puss in Boots: The Last Wish""",nominees
2023,ANIMATED FEATURE FILM,Chris Williams and Jed Schlanger,"""The Sea Beast""",nominees
2023,ANIMATED FEATURE FILM,Domee Shi and Lindsey Collins,"""Turning Red""",nominees
2023,CINEMATOGRAPHY,James Friend,"""All Quiet on the Western Front""",Winner
2023,CINEMATOGRAPHY,Darius Khondji,"""Bardo, False Chronicle of a Handful of Truths""",nominees
2023,CINEMATOGRAPHY,Mandy Walker,"""Elvis""",nominees
2023,CINEMATOGRAPHY,Roger Deakins,"""Empire of Light""",nominees
2023,CINEMATOGRAPHY,Florian Hoffmeister,"""Tár""",nominees
2023,COSTUME DESIGN,Ruth Carter,"""Black Panther: Wakanda Forever""",Winner
2023,COSTUME DESIGN,Mary Zophres,"""Babylon""",nominees
2023,COSTUME DESIGN,Catherine Martin,"""Elvis""",nominees
2023,COSTUME DESIGN,Shirley Kurata,"""Everything Everywhere All at Once""",nominees
