YEAR,category,aktor,film,type
1955,DIRECTING,Alfred Hitchcock,"""Rear Window""",nominee
1955,DIRECTING,Billy Wilder,"""Sabrina""",nominee
1955,DOCUMENTARY (Feature),Guy Glover,"""The Stratford Adventure""",nominee
1955,DOCUMENTARY (Short Subject),Otto Lang,"""Jet Carrier""",nominee
1955,DOCUMENTARY (Short Subject),Morrie Roizman,"""Rembrandt: A Self-Portrait""",nominee
1955,FILM EDITING,William A. Lyon,"""The Caine Mutiny""",nominee
1955,FILM EDITING,Henry Batista,"""The Caine Mutiny""",nominee
1955,FILM EDITING,Ralph Dawson,"""The High and the Mighty""",nominee
1955,FILM EDITING,Ralph E. Winters,"""Seven Brides for Seven Brothers""",nominee
1955,FILM EDITING,Elmo Williams,"""20,000 Leagues under the Sea""",nominee
1955,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Steiner,"""The Caine Mutiny""",nominee
1955,MUSIC (Music Score of a Dramatic or Comedy Picture),Larry Adler,"""Genevieve""",nominee
1955,MUSIC (Music Score of a Dramatic or Comedy Picture),Leonard Bernstein,"""On the Waterfront""",nominee
1955,MUSIC (Music Score of a Dramatic or Comedy Picture),Franz Waxman,"""The Silver Chalice""",nominee
1955,MUSIC (Scoring of a Musical Picture),Herschel Burke Gilbert,"""Carmen Jones""",nominee
1955,MUSIC (Scoring of a Musical Picture),Joseph Gershenson,"""The Glenn Miller Story""",nominee
1955,MUSIC (Scoring of a Musical Picture),Henry Mancini,"""The Glenn Miller Story""",nominee
1955,MUSIC (Scoring of a Musical Picture),Ray Heindorf,"""A Star Is Born""",nominee
1955,MUSIC (Scoring of a Musical Picture),Alfred Newman,"""There's No Business Like Show Business""",nominee
1955,MUSIC (Scoring of a Musical Picture),Lionel Newman,"""There's No Business Like Show Business""",nominee
1955,MUSIC (Song),Irving Berlin,"""White Christmas""",nominee
1955,MUSIC (Song),Dimitri Tiomkin,"""The High and the Mighty""",nominee
1955,MUSIC (Song),Ned Washington,"""The High and the Mighty""",nominee
1955,MUSIC (Song),Jack Lawrence,"""Susan Slept Here""",nominee
1955,MUSIC (Song),Richard Myers,"""Susan Slept Here""",nominee
1955,MUSIC (Song),Harold Arlen,"""A Star Is Born""",nominee
1955,MUSIC (Song),Ira Gershwin,"""A Star Is Born""",nominee
1955,BEST MOTION PICTURE,Stanley Kramer,"""The Caine Mutiny""",nominee
1955,BEST MOTION PICTURE,William Perlberg,"""The Country Girl""",nominee
1955,BEST MOTION PICTURE,Jack Cummings,"""Seven Brides for Seven Brothers""",nominee
1955,BEST MOTION PICTURE,Sol C. Siegel,"""Three Coins in the Fountain""",nominee
1955,SHORT SUBJECT (Cartoon),Walter Lantz,"""Crazy Mixed Up Pup""",nominee
1955,SHORT SUBJECT (Cartoon),Walt Disney,"""Pigs Is Pigs""",nominee
1955,SHORT SUBJECT (Cartoon),Edward Selzer,"""Sandy Claws""",nominee
1955,SHORT SUBJECT (Cartoon),Fred Quimby,"""Touché, Pussy Cat""",nominee
1955,SHORT SUBJECT (One-reel),Otto Lang,"""The First Piano Quartette""",nominee
1955,SHORT SUBJECT (One-reel),Johnny Green,"""The Strauss Fantasy""",nominee
1955,SHORT SUBJECT (Two-reel),Cedric Francis,"""Beauty and the Bull""",nominee
1955,SHORT SUBJECT (Two-reel),Otto Lang,"""Jet Carrier""",nominee
1955,SHORT SUBJECT (Two-reel),Walt Disney,"""Siam""",nominee
1955,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,"""Brigadoon""",nominee
1955,SOUND RECORDING,Wesley C. Miller,"""Brigadoon""",nominee
1955,SOUND RECORDING,Columbia Studio Sound Department,"""The Caine Mutiny""",nominee
1955,SOUND RECORDING,John P. Livadary,"""The Caine Mutiny""",nominee
1955,SOUND RECORDING,Paramount Studio Sound Department,"""Rear Window""",nominee
1955,SOUND RECORDING,Loren L. Ryder,"""Rear Window""",nominee
1955,SOUND RECORDING,RKO Radio Studio Sound Department,"""Susan Slept Here""",nominee
1955,SOUND RECORDING,John O. Aalberg,"""Susan Slept Here""",nominee
1955,SPECIAL EFFECTS,20th Century-Fox Studio,"""Hell and High Water""",nominee
1955,SPECIAL EFFECTS,Warner Bros. Studio,"""Them!""",nominee
1955,WRITING (Motion Picture Story),Ettore Margadonna,"""Bread, Love and Dreams""",nominee
1955,WRITING (Motion Picture Story),François Boyer,"""Forbidden Games""",nominee
1955,WRITING (Motion Picture Story),Jed Harris,"""Night People""",nominee
1955,WRITING (Motion Picture Story),Tom Reed,"""Night People""",nominee
1955,WRITING (Motion Picture Story),Lamar Trotti,"""There's No Business Like Show Business""",nominee
1955,WRITING (Screenplay),Stanley Roberts,"""The Caine Mutiny""",nominee
1955,WRITING (Screenplay),John Michael Hayes,"""Rear Window""",nominee
1955,WRITING (Screenplay),Billy Wilder,"""Sabrina""",nominee
1955,WRITING (Screenplay),Samuel Taylor,"""Sabrina""",nominee
1955,WRITING (Screenplay),Ernest Lehman,"""Sabrina""",nominee
1955,WRITING (Screenplay),Albert Hackett,"""Seven Brides for Seven Brothers""",nominee
1955,WRITING (Screenplay),Frances Goodrich,"""Seven Brides for Seven Brothers""",nominee
1955,WRITING (Screenplay),Dorothy Kingsley,"""Seven Brides for Seven Brothers""",nominee
1955,WRITING (Story and Screenplay),Joseph L. Mankiewicz,"""The Barefoot Contessa""",nominee
1955,WRITING (Story and Screenplay),William Rose,"""Genevieve""",nominee
1955,WRITING (Story and Screenplay),Valentine Davies,"""The Glenn Miller Story""",nominee
1955,WRITING (Story and Screenplay),Oscar Brodney,"""The Glenn Miller Story""",nominee
1955,WRITING (Story and Screenplay),Norman Panama,"""Knock on Wood""",nominee
1955,WRITING (Story and Screenplay),Melvin Frank,"""Knock on Wood""",nominee
1955,ACTOR,Humphrey Bogart,"""The Caine Mutiny""",nominee
1955,ACTOR,Bing Crosby,"""The Country Girl""",nominee
1955,ACTOR,James Mason,"""A Star Is Born""",nominee
1955,ACTOR,Dan O'Herlihy,"""Adventures of Robinson Crusoe""",nominee
1954,ACTOR,William Holden,"""Stalag 17""",Winner
1954,ACTOR IN A SUPPORTING ROLE,Frank Sinatra,"""From Here to Eternity""",Winner
1954,ACTRESS,Audrey Hepburn,"""Roman Holiday""",Winner
1954,ACTRESS IN A SUPPORTING ROLE,Donna Reed,"""From Here to Eternity""",Winner
1954,ART DIRECTION (Black-and-White),Cedric Gibbons,"""Julius Caesar""",Winner
1954,ART DIRECTION (Black-and-White),Edward Carfagno,"""Julius Caesar""",Winner
1954,ART DIRECTION (Black-and-White),Edwin B. Willis,"""Julius Caesar""",Winner
1954,ART DIRECTION (Black-and-White),Hugh Hunt,"""Julius Caesar""",Winner
1954,ART DIRECTION (Color),Lyle Wheeler,"""The Robe""",Winner
1954,ART DIRECTION (Color),George W. Davis,"""The Robe""",Winner
1954,ART DIRECTION (Color),Walter M. Scott,"""The Robe""",Winner
1954,ART DIRECTION (Color),Paul S. Fox,"""The Robe""",Winner
1954,CINEMATOGRAPHY (Black-and-White),Burnett Guffey,"""From Here to Eternity""",Winner
1954,CINEMATOGRAPHY (Color),Loyal Griggs,"""Shane""",Winner
1954,COSTUME DESIGN (Black-and-White),Edith Head,"""Roman Holiday""",Winner
1954,COSTUME DESIGN (Color),Charles LeMaire,"""The Robe""",Winner
1954,COSTUME DESIGN (Color),Emile Santiago,"""The Robe""",Winner
1954,DIRECTING,Fred Zinnemann,"""From Here to Eternity""",Winner
1954,DOCUMENTARY (Feature),Walt Disney,"""The Living Desert""",Winner
1954,DOCUMENTARY (Short Subject),Walt Disney,"""The Alaskan Eskimo""",Winner
1954,FILM EDITING,William Lyon,"""From Here to Eternity""",Winner
1954,MUSIC (Music Score of a Dramatic or Comedy Picture),Bronislau Kaper,"""Lili""",Winner
1954,MUSIC (Scoring of a Musical Picture),Alfred Newman,"""Call Me Madam""",Winner
1954,MUSIC (Song),Sammy Fain,"""Calamity Jane""",Winner
1954,MUSIC (Song),Paul Francis Webster,"""Calamity Jane""",Winner
1954,BEST MOTION PICTURE,Buddy Adler,"""From Here to Eternity""",Winner
1954,SHORT SUBJECT (Cartoon),Walt Disney,"""Toot, Whistle, Plunk and Boom""",Winner
1954,SHORT SUBJECT (One-reel),Johnny Green,"""The Merry Wives of Windsor Overture""",Winner
1954,SHORT SUBJECT (Two-reel),Walt Disney,"""Bear Country""",Winner
1954,SOUND RECORDING,Columbia Studio Sound Department,"""From Here to Eternity""",Winner
1954,SOUND RECORDING,John P. Livadary,"""From Here to Eternity""",Winner
1954,SPECIAL EFFECTS,Paramount Studio,"""The War of the Worlds""",Winner
1954,WRITING (Motion Picture Story),Dalton Trumbo,"""Roman Holiday""",Winner
1954,WRITING (Screenplay),Daniel Taradash,"""From Here to Eternity""",Winner
1954,WRITING (Story and Screenplay),Charles Brackett,"""Titanic""",Winner
1954,WRITING (Story and Screenplay),Walter Reisch,"""Titanic""",Winner
1954,WRITING (Story and Screenplay),Richard Breen,"""Titanic""",Winner
1954,ACTOR IN A SUPPORTING ROLE,Eddie Albert,"""Roman Holiday""",nominee
1954,ACTOR IN A SUPPORTING ROLE,Brandon De Wilde,"""Shane""",nominee
1954,ACTOR IN A SUPPORTING ROLE,Jack Palance,"""Shane""",nominee
1954,ACTOR IN A SUPPORTING ROLE,Robert Strauss,"""Stalag 17""",nominee
1954,ACTRESS,Leslie Caron,"""Lili""",nominee
1954,ACTRESS,Ava Gardner,"""Mogambo""",nominee
1954,ACTRESS,Deborah Kerr,"""From Here to Eternity""",nominee
1954,ACTRESS,Maggie McNamara,"""The Moon Is Blue""",nominee
1954,ACTRESS IN A SUPPORTING ROLE,Grace Kelly,"""Mogambo""",nominee
1954,ACTRESS IN A SUPPORTING ROLE,Geraldine Page,"""Hondo""",nominee
1954,ACTRESS IN A SUPPORTING ROLE,Marjorie Rambeau,"""Torch Song""",nominee
1954,ACTRESS IN A SUPPORTING ROLE,Thelma Ritter,"""Pickup on South Street""",nominee
1954,ART DIRECTION (Black-and-White),Fritz Maurischat,"""Martin Luther""",nominee
1954,ART DIRECTION (Black-and-White),Paul Markwitz,"""Martin Luther""",nominee
1954,ART DIRECTION (Black-and-White),Lyle Wheeler,"""The President's Lady""",nominee
1954,ART DIRECTION (Black-and-White),Leland Fuller,"""The President's Lady""",nominee
1954,ART DIRECTION (Black-and-White),Paul S. Fox,"""The President's Lady""",nominee
1954,ART DIRECTION (Black-and-White),Hal Pereira,"""Roman Holiday""",nominee
1954,ART DIRECTION (Black-and-White),Walter Tyler,"""Roman Holiday""",nominee
1954,ART DIRECTION (Black-and-White),Lyle Wheeler,"""Titanic""",nominee
1954,ART DIRECTION (Black-and-White),Maurice Ransford,"""Titanic""",nominee
1954,ART DIRECTION (Black-and-White),Stuart Reiss,"""Titanic""",nominee
1954,ART DIRECTION (Color),Alfred Junge,"""Knights of the Round Table""",nominee
1954,ART DIRECTION (Color),Hans Peters,"""Knights of the Round Table""",nominee
1954,ART DIRECTION (Color),John Jarvis,"""Knights of the Round Table""",nominee
1954,ART DIRECTION (Color),Cedric Gibbons,"""Lili""",nominee
1954,ART DIRECTION (Color),Paul Groesse,"""Lili""",nominee
1954,ART DIRECTION (Color),Edwin B. Willis,"""Lili""",nominee
1954,ART DIRECTION (Color),Arthur Krams,"""Lili""",nominee
1954,ART DIRECTION (Color),Cedric Gibbons,"""The Story of Three Loves""",nominee
1954,ART DIRECTION (Color),Preston Ames,"""The Story of Three Loves""",nominee
1954,ART DIRECTION (Color),Edward Carfagno,"""The Story of Three Loves""",nominee
1954,ART DIRECTION (Color),Gabriel Scognamillo,"""The Story of Three Loves""",nominee
1954,ART DIRECTION (Color),Edwin B. Willis,"""The Story of Three Loves""",nominee
1954,ART DIRECTION (Color),Keogh Gleason,"""The Story of Three Loves""",nominee
1954,ART DIRECTION (Color),Arthur Krams,"""The Story of Three Loves""",nominee
1954,ART DIRECTION (Color),Jack D. Moore,"""The Story of Three Loves""",nominee
1954,ART DIRECTION (Color),Cedric Gibbons,"""Young Bess""",nominee
1954,ART DIRECTION (Color),Urie McCleary,"""Young Bess""",nominee
1954,ART DIRECTION (Color),Edwin B. Willis,"""Young Bess""",nominee
1954,ART DIRECTION (Color),Jack D. Moore,"""Young Bess""",nominee
1954,CINEMATOGRAPHY (Black-and-White),Hal Mohr,"""The Four Poster""",nominee
1954,CINEMATOGRAPHY (Black-and-White),Joseph Ruttenberg,"""Julius Caesar""",nominee
1954,CINEMATOGRAPHY (Black-and-White),Joseph C. Brun,"""Martin Luther""",nominee
1954,CINEMATOGRAPHY (Black-and-White),Frank Planer,"""Roman Holiday""",nominee
1954,CINEMATOGRAPHY (Black-and-White),Henri Alekan,"""Roman Holiday""",nominee
1954,CINEMATOGRAPHY (Color),George Folsey,"""All the Brothers Were Valiant""",nominee
1954,CINEMATOGRAPHY (Color),Edward Cronjager,"""Beneath the 12-Mile Reef""",nominee
1954,CINEMATOGRAPHY (Color),Robert Planck,"""Lili""",nominee
1954,CINEMATOGRAPHY (Color),Leon Shamroy,"""The Robe""",nominee
1954,COSTUME DESIGN (Black-and-White),Walter Plunkett,"""The Actress""",nominee
1954,COSTUME DESIGN (Black-and-White),Helen Rose,"""Dream Wife""",nominee
1954,COSTUME DESIGN (Black-and-White),Herschel McCoy,"""Dream Wife""",nominee
1954,COSTUME DESIGN (Black-and-White),Jean Louis,"""From Here to Eternity""",nominee
1954,COSTUME DESIGN (Black-and-White),Charles LeMaire,"""The President's Lady""",nominee
1954,COSTUME DESIGN (Black-and-White),Renie,"""The President's Lady""",nominee
1954,COSTUME DESIGN (Color),Mary Ann Nyberg,"""The Band Wagon""",nominee
1954,COSTUME DESIGN (Color),Irene Sharaff,"""Call Me Madam""",nominee
1954,COSTUME DESIGN (Color),Charles LeMaire,"""How to Marry a Millionaire""",nominee
1954,COSTUME DESIGN (Color),Travilla,"""How to Marry a Millionaire""",nominee
1954,COSTUME DESIGN (Color),Walter Plunkett,"""Young Bess""",nominee
1954,DIRECTING,Charles Walters,"""Lili""",nominee
1954,DIRECTING,William Wyler,"""Roman Holiday""",nominee
1954,DIRECTING,George Stevens,"""Shane""",nominee
1954,DIRECTING,Billy Wilder,"""Stalag 17""",nominee
1954,DOCUMENTARY (Feature),John Taylor,"""The Conquest of Everest""",nominee
1954,DOCUMENTARY (Feature),Leon Clore,"""The Conquest of Everest""",nominee
1954,DOCUMENTARY (Feature),Grahame Tharp,"""The Conquest of Everest""",nominee
1954,DOCUMENTARY (Feature),Castleton Knight,"""A Queen Is Crowned""",nominee
1954,DOCUMENTARY (Short Subject),John Barnes,"""The Living City""",nominee
1954,DOCUMENTARY (Short Subject),United States Army Signal Corps,"""Operation Blue Jay""",nominee
1954,DOCUMENTARY (Short Subject),James Carr,"""They Planted a Stone""",nominee
1954,DOCUMENTARY (Short Subject),John Healy,"""The Word""",nominee
1954,DOCUMENTARY (Short Subject),John Adams,"""The Word""",nominee
1954,FILM EDITING,Irvine Cotton Warburton,"""Crazylegs""",nominee
1954,FILM EDITING,Otto Ludwig,"""The Moon Is Blue""",nominee
1954,FILM EDITING,Robert Swink,"""Roman Holiday""",nominee
1954,FILM EDITING,Everett Douglas,"""The War of the Worlds""",nominee
1954,MUSIC (Music Score of a Dramatic or Comedy Picture),Hugo Friedhofer,"""Above and Beyond""",nominee
1954,MUSIC (Music Score of a Dramatic or Comedy Picture),Morris Stoloff,"""From Here to Eternity""",nominee
1954,MUSIC (Music Score of a Dramatic or Comedy Picture),George Duning,"""From Here to Eternity""",nominee
1954,MUSIC (Music Score of a Dramatic or Comedy Picture),Miklos Rozsa,"""Julius Caesar""",nominee
1954,MUSIC (Music Score of a Dramatic or Comedy Picture),Louis Forbes,"""This Is Cinerama""",nominee
1954,MUSIC (Scoring of a Musical Picture),Adolph Deutsch,"""The Band Wagon""",nominee
1954,MUSIC (Scoring of a Musical Picture),Ray Heindorf,"""Calamity Jane""",nominee
1954,MUSIC (Scoring of a Musical Picture),Frederick Hollander,"""The 5,000 Fingers of Dr. T""",nominee
1954,MUSIC (Scoring of a Musical Picture),Morris Stoloff,"""The 5,000 Fingers of Dr. T""",nominee
1954,MUSIC (Scoring of a Musical Picture),Andre Previn,"""Kiss Me Kate""",nominee
1954,MUSIC (Scoring of a Musical Picture),Saul Chaplin,"""Kiss Me Kate""",nominee
1954,MUSIC (Song),Herschel Burke Gilbert,"""The Moon Is Blue""",nominee
1954,MUSIC (Song),Sylvia Fine,"""The Moon Is Blue""",nominee
1954,MUSIC (Song),Nicholas Brodszky,"""Small Town Girl""",nominee
1954,MUSIC (Song),Leo Robin,"""Small Town Girl""",nominee
1954,MUSIC (Song),Lester Lee,"""Miss Sadie Thompson""",nominee
1954,MUSIC (Song),Ned Washington,"""Miss Sadie Thompson""",nominee
1954,MUSIC (Song),Harry Warren,"""The Caddy""",nominee
1954,MUSIC (Song),Jack Brooks,"""The Caddy""",nominee
1954,BEST MOTION PICTURE,John Houseman,"""Julius Caesar""",nominee
1954,BEST MOTION PICTURE,Frank Ross,"""The Robe""",nominee
1954,BEST MOTION PICTURE,William Wyler,"""Roman Holiday""",nominee
1954,BEST MOTION PICTURE,George Stevens,"""Shane""",nominee
1954,SHORT SUBJECT (Cartoon),Stephen Bosustow,"""Christopher Crumpet""",nominee
1954,SHORT SUBJECT (Cartoon),Edward Selzer,"""From A to Z-Z-Z-Z""",nominee
1954,SHORT SUBJECT (Cartoon),Walt Disney,"""Rugged Bear""",nominee
1954,SHORT SUBJECT (Cartoon),Stephen Bosustow,"""The Tell Tale Heart""",nominee
1954,SHORT SUBJECT (One-reel),Vincenzo Lucci-Chiarissi,"""Christ among the Primitives""",nominee
1954,SHORT SUBJECT (One-reel),National Film Board of Canada,"""Herring Hunt""",nominee
1954,SHORT SUBJECT (One-reel),Boris Vermont,"""Joy of Living""",nominee
1954,SHORT SUBJECT (One-reel),Jack Eaton,"""Wee Water Wonders""",nominee
1954,SHORT SUBJECT (Two-reel),Walt Disney,"""Ben and Me""",nominee
1954,SHORT SUBJECT (Two-reel),Dublin Gate Theatre Productions,"""Return to Glennascaul""",nominee
1954,SHORT SUBJECT (Two-reel),Otto Lang,"""Vesuvius Express""",nominee
1954,SHORT SUBJECT (Two-reel),Cedric Francis,"""Winter Paradise""",nominee
1954,SOUND RECORDING,Warner Bros. Studio Sound Department,"""Calamity Jane""",nominee
1954,SOUND RECORDING,William A. Mueller,"""Calamity Jane""",nominee
1954,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,"""Knights of the Round Table""",nominee
1954,SOUND RECORDING,A. W. Watkins,"""Knights of the Round Table""",nominee
1954,SOUND RECORDING,Universal-International Studio Sound Department,"""The Mississippi Gambler""",nominee
1954,SOUND RECORDING,Leslie I. Carey,"""The Mississippi Gambler""",nominee
1954,SOUND RECORDING,Paramount Studio Sound Department,"""The War of the Worlds""",nominee
1954,SOUND RECORDING,Loren L. Ryder,"""The War of the Worlds""",nominee
1954,WRITING (Motion Picture Story),Beirne Lay,"""Above and Beyond""",nominee
1954,WRITING (Motion Picture Story),Alec Coppel,"""The Captain's Paradise""",nominee
1954,WRITING (Motion Picture Story),Louis L'Amour,"""Hondo""",nominee
1954,WRITING (Motion Picture Story),Ray Ashley,"""Little Fugitive""",nominee
1954,WRITING (Motion Picture Story),Morris Engel,"""Little Fugitive""",nominee
1954,WRITING (Motion Picture Story),Ruth Orkin,"""Little Fugitive""",nominee
1954,WRITING (Screenplay),Eric Ambler,"""The Cruel Sea""",nominee
1954,WRITING (Screenplay),Helen Deutsch,"""Lili""",nominee
1954,WRITING (Screenplay),Ian McLellan Hunter,"""Roman Holiday""",nominee
1954,WRITING (Screenplay),John Dighton,"""Roman Holiday""",nominee
1954,WRITING (Screenplay),A. B. Guthrie,"""Shane""",nominee
1954,WRITING (Story and Screenplay),Betty Comden,"""The Band Wagon""",nominee
1954,WRITING (Story and Screenplay),Adolph Green,"""The Band Wagon""",nominee
1954,WRITING (Story and Screenplay),Richard Murphy,"""The Desert Rats""",nominee
1954,WRITING (Story and Screenplay),Sam Rolfe,"""The Naked Spur""",nominee
1954,WRITING (Story and Screenplay),Harold Jack Bloom,"""The Naked Spur""",nominee
1954,WRITING (Story and Screenplay),Millard Kaufman,"""Take the High Ground""",nominee
1954,ACTOR,Marlon Brando,"""Julius Caesar""",nominee
1954,ACTOR,Richard Burton,"""The Robe""",nominee
1954,ACTOR,Montgomery Clift,"""From Here to Eternity""",nominee
1954,ACTOR,Burt Lancaster,"""From Here to Eternity""",nominee
1953,ACTOR,Gary Cooper,"""High Noon""",Winner
1953,ACTOR IN A SUPPORTING ROLE,Anthony Quinn,"""Viva Zapata!""",Winner
1953,ACTRESS,Shirley Booth,"""Come Back, Little Sheba""",Winner
1953,ACTRESS IN A SUPPORTING ROLE,Gloria Grahame,"""The Bad and the Beautiful""",Winner
1953,ART DIRECTION (Black-and-White),Cedric Gibbons,"""The Bad and the Beautiful""",Winner
1953,ART DIRECTION (Black-and-White),Edward Carfagno,"""The Bad and the Beautiful""",Winner
1953,ART DIRECTION (Black-and-White),Edwin B. Willis,"""The Bad and the Beautiful""",Winner
1953,ART DIRECTION (Black-and-White),Keogh Gleason,"""The Bad and the Beautiful""",Winner
1953,ART DIRECTION (Color),Paul Sheriff,"""Moulin Rouge""",Winner
1953,ART DIRECTION (Color),Marcel Vertes,"""Moulin Rouge""",Winner
1953,CINEMATOGRAPHY (Black-and-White),Robert Surtees,"""The Bad and the Beautiful""",Winner
1953,CINEMATOGRAPHY (Color),Winton C. Hoch,"""The Quiet Man""",Winner
1953,CINEMATOGRAPHY (Color),Archie Stout,"""The Quiet Man""",Winner
1953,COSTUME DESIGN (Black-and-White),Helen Rose,"""The Bad and the Beautiful""",Winner
1953,COSTUME DESIGN (Color),Marcel Vertes,"""Moulin Rouge""",Winner
1953,DIRECTING,John Ford,"""The Quiet Man""",Winner
1953,DOCUMENTARY (Feature),Irwin Allen,"""The Sea around Us""",Winner
1953,DOCUMENTARY (Short Subject),Norman McLaren,"""Neighbours""",Winner
1953,FILM EDITING,Elmo Williams,"""High Noon""",Winner
1953,FILM EDITING,Harry Gerstad,"""High Noon""",Winner
1953,MUSIC (Music Score of a Dramatic or Comedy Picture),Dimitri Tiomkin,"""High Noon""",Winner
1953,MUSIC (Scoring of a Musical Picture),Alfred Newman,"""With a Song in My Heart""",Winner
1953,MUSIC (Song),Dimitri Tiomkin,"""High Noon""",Winner
1953,MUSIC (Song),Ned Washington,"""High Noon""",Winner
1953,BEST MOTION PICTURE,Cecil B. DeMille,"""The Greatest Show on Earth""",Winner
1953,SHORT SUBJECT (Cartoon),Fred Quimby,"""Johann Mouse""",Winner
1953,SHORT SUBJECT (One-reel),Boris Vermont,"""Light in the Window: The Art of Vermeer""",Winner
1953,SHORT SUBJECT (Two-reel),Walt Disney,"""Water Birds""",Winner
1953,SOUND RECORDING,London Film Sound Department,"""Breaking the Sound Barrier""",Winner
1953,WRITING (Motion Picture Story),Fredric M. Frank,"""The Greatest Show on Earth""",Winner
1953,WRITING (Motion Picture Story),Theodore St. John,"""The Greatest Show on Earth""",Winner
1953,WRITING (Motion Picture Story),Frank Cavett,"""The Greatest Show on Earth""",Winner
1953,WRITING (Screenplay),Charles Schnee,"""The Bad and the Beautiful""",Winner
1953,WRITING (Story and Screenplay),T. E. B. Clarke,"""The Lavender Hill Mob""",Winner
1953,HONORARY FOREIGN LANGUAGE FILM AWARD,Forbidden Games,Best Foreign Language Film first released in the United States during 1952.,Winner
1953,ACTOR IN A SUPPORTING ROLE,Richard Burton,"""My Cousin Rachel""",nominee
1953,ACTOR IN A SUPPORTING ROLE,Arthur Hunnicutt,"""The Big Sky""",nominee
1953,ACTOR IN A SUPPORTING ROLE,Victor McLaglen,"""The Quiet Man""",nominee
1953,ACTOR IN A SUPPORTING ROLE,Jack Palance,"""Sudden Fear""",nominee
1953,ACTRESS,Joan Crawford,"""Sudden Fear""",nominee
1953,ACTRESS,Bette Davis,"""The Star""",nominee
1953,ACTRESS,Julie Harris,"""The Member of the Wedding""",nominee
1953,ACTRESS,Susan Hayward,"""With a Song in My Heart""",nominee
1953,ACTRESS IN A SUPPORTING ROLE,Jean Hagen,"""Singin' in the Rain""",nominee
1953,ACTRESS IN A SUPPORTING ROLE,Colette Marchand,"""Moulin Rouge""",nominee
1953,ACTRESS IN A SUPPORTING ROLE,Terry Moore,"""Come Back, Little Sheba""",nominee
1953,ACTRESS IN A SUPPORTING ROLE,Thelma Ritter,"""With a Song in My Heart""",nominee
1953,ART DIRECTION (Black-and-White),Hal Pereira,"""Carrie""",nominee
1953,ART DIRECTION (Black-and-White),Roland Anderson,"""Carrie""",nominee
1953,ART DIRECTION (Black-and-White),Emile Kuri,"""Carrie""",nominee
1953,ART DIRECTION (Black-and-White),Lyle Wheeler,"""My Cousin Rachel""",nominee
1953,ART DIRECTION (Black-and-White),John DeCuir,"""My Cousin Rachel""",nominee
1953,ART DIRECTION (Black-and-White),Walter M. Scott,"""My Cousin Rachel""",nominee
1953,ART DIRECTION (Black-and-White),Matsuyama,"""Rashomon""",nominee
1953,ART DIRECTION (Black-and-White),H. Motsumoto,"""Rashomon""",nominee
1953,ART DIRECTION (Black-and-White),Lyle Wheeler,"""Viva Zapata!""",nominee
1953,ART DIRECTION (Black-and-White),Leland Fuller,"""Viva Zapata!""",nominee
1953,ART DIRECTION (Black-and-White),Thomas Little,"""Viva Zapata!""",nominee
1953,ART DIRECTION (Black-and-White),Claude Carpenter,"""Viva Zapata!""",nominee
1953,ART DIRECTION (Color),Richard Day,"""Hans Christian Andersen""",nominee
1953,ART DIRECTION (Color),Clave,"""Hans Christian Andersen""",nominee
1953,ART DIRECTION (Color),Howard Bristol,"""Hans Christian Andersen""",nominee
1953,ART DIRECTION (Color),Cedric Gibbons,"""The Merry Widow""",nominee
1953,ART DIRECTION (Color),Paul Groesse,"""The Merry Widow""",nominee
1953,ART DIRECTION (Color),Edwin B. Willis,"""The Merry Widow""",nominee
1953,ART DIRECTION (Color),Arthur Krams,"""The Merry Widow""",nominee
1953,ART DIRECTION (Color),Frank Hotaling,"""The Quiet Man""",nominee
1953,ART DIRECTION (Color),John McCarthy,"""The Quiet Man""",nominee
1953,ART DIRECTION (Color),Charles Thompson,"""The Quiet Man""",nominee
1953,ART DIRECTION (Color),Lyle Wheeler,"""The Snows of Kilimanjaro""",nominee
1953,ART DIRECTION (Color),John DeCuir,"""The Snows of Kilimanjaro""",nominee
1953,ART DIRECTION (Color),Thomas Little,"""The Snows of Kilimanjaro""",nominee
1953,ART DIRECTION (Color),Paul S. Fox,"""The Snows of Kilimanjaro""",nominee
1953,CINEMATOGRAPHY (Black-and-White),Russell Harlan,"""The Big Sky""",nominee
1953,CINEMATOGRAPHY (Black-and-White),Joseph LaShelle,"""My Cousin Rachel""",nominee
1953,CINEMATOGRAPHY (Black-and-White),Virgil E. Miller,"""Navajo""",nominee
1953,CINEMATOGRAPHY (Black-and-White),Charles B. Lang,"""Sudden Fear""",nominee
1953,CINEMATOGRAPHY (Color),Harry Stradling,"""Hans Christian Andersen""",nominee
1953,CINEMATOGRAPHY (Color),F. A. Young,"""Ivanhoe""",nominee
1953,CINEMATOGRAPHY (Color),George J. Folsey,"""Million Dollar Mermaid""",nominee
1953,CINEMATOGRAPHY (Color),Leon Shamroy,"""The Snows of Kilimanjaro""",nominee
1953,COSTUME DESIGN (Black-and-White),Jean Louis,"""Affair in Trinidad""",nominee
1953,COSTUME DESIGN (Black-and-White),Edith Head,"""Carrie""",nominee
1953,COSTUME DESIGN (Black-and-White),Charles LeMaire,"""My Cousin Rachel""",nominee
1953,COSTUME DESIGN (Black-and-White),Dorothy Jeakins,"""My Cousin Rachel""",nominee
